,GEO_ID,pct_white,pct_black,pct_native,pct_asian,pct_pac_isl,pct_other_race,pct_two_more_races,med_income,pct_below_pov,pct_at_above_pov,pct_less_hs,pct_some_hs,pct_hs_grad,pct_some_col,pct_assoc_deg,pct_bach_deg,pct_grad_deg,pct_unempl,pct_empl,pct_trump,pct_clinton,pct_3rd_p
0,1500000US530019501001,95.57739557739558,0.7371007371007371,2.9484029484029484,0.0,0.0,0.7371007371007371,0.0,70375.0,7.363013698630137,92.63698630136986,1.36986301369863,8.732876712328768,28.424657534246574,17.97945205479452,14.04109589041096,20.205479452054796,9.246575342465754,39.05996758508914,60.94003241491086,83.4066660327298,12.074801499618799,4.518532467651399
1,1500000US530019501002,92.32096635030199,1.4667817083692838,0.7765314926660914,2.1570319240724762,0.0,1.2079378774805867,2.0707506471095773,50250.0,9.330143540669857,90.66985645933015,0.449438202247191,7.191011235955056,34.157303370786515,25.730337078651687,8.426966292134832,14.606741573033707,9.438202247191011,41.89636163175303,58.10363836824697,64.7683472107389,28.603010786538402,6.628642002722703
2,1500000US530019501003,77.13754646840148,1.486988847583643,0.0,1.1152416356877324,0.0,6.5055762081784385,13.754646840148698,29199.0,23.325062034739453,76.67493796526054,8.486238532110091,9.174311926605505,42.88990825688074,18.807339449541285,10.779816513761467,6.422018348623853,3.4403669724770642,49.11504424778761,50.88495575221239,77.0742202465908,18.8227018669936,4.103077886415601
3,1500000US530019502001,94.45910290237467,0.0,0.2638522427440633,0.5277044854881267,0.0,0.0,4.74934036939314,55197.0,10.273972602739725,89.72602739726027,1.7123287671232876,7.876712328767123,38.6986301369863,16.438356164383563,9.246575342465754,17.123287671232877,8.904109589041095,53.18471337579618,46.81528662420382,80.5625612463912,10.2418286927034,9.195610060905402
4,1500000US530019502002,89.04494382022472,0.0,0.8426966292134831,0.0,0.0,0.702247191011236,9.410112359550562,56875.0,21.915285451197054,78.08471454880295,0.0,10.128913443830571,38.30570902394107,27.25598526703499,13.259668508287293,10.497237569060774,0.5524861878453039,42.413162705667276,57.586837294332724,74.1049750444751,19.039737312174097,6.855287643350806
5,1500000US530019502003,84.78664192949907,0.0,3.1539888682745825,0.0,0.0,10.575139146567718,1.484230055658627,61023.0,10.086455331412104,89.9135446685879,0.0,12.39193083573487,12.39193083573487,44.09221902017291,5.763688760806916,18.443804034582133,6.916426512968299,36.34020618556701,63.65979381443299,84.1477651440444,11.1319346611519,4.7203001948037
6,1500000US530019503001,41.388761991777066,1.6902695294655095,0.0,0.0,0.0,56.92096847875742,0.0,32670.0,10.663983903420522,89.33601609657947,12.271062271062272,7.875457875457876,33.15018315018315,20.146520146520146,2.7472527472527473,13.553113553113553,10.256410256410257,41.63162321278385,58.36837678721615,69.3688550321764,27.3651001245238,3.2660448432998024
7,1500000US530019503002,62.91079812206573,0.0,13.078470824949699,0.0,0.0,24.010731052984575,0.0,43794.0,19.83739837398374,80.16260162601625,10.40650406504065,8.78048780487805,31.056910569105693,25.040650406504064,10.08130081300813,11.21951219512195,3.4146341463414633,52.07920792079208,47.92079207920792,76.9710741739574,20.340518501912,2.688407324130594
8,1500000US530019503003,43.62017804154303,0.0,2.0029673590504453,0.0,0.0,54.37685459940653,0.0,75388.0,5.190311418685121,94.80968858131487,4.844290657439446,22.664359861591695,34.2560553633218,16.089965397923876,8.477508650519031,0.0,13.667820069204152,27.801724137931036,72.19827586206897,69.3434612590368,26.9603365502342,3.696202190729
9,1500000US530019503004,65.97701149425288,0.0,0.0,0.0,9.425287356321839,16.551724137931036,8.045977011494253,43725.0,21.31979695431472,78.68020304568527,12.182741116751268,39.59390862944162,25.380710659898476,7.614213197969543,2.5380710659898478,12.690355329949238,0.0,41.666666666666664,58.333333333333336,68.98524963786889,27.302428044964998,3.7123223171661124
10,1500000US530019503005,50.230840258541086,0.0,0.0,0.0,0.0,44.96768236380425,4.801477377654663,30000.0,47.12871287128713,52.87128712871287,7.920792079207921,5.148514851485149,50.2970297029703,17.821782178217823,8.316831683168317,5.148514851485149,5.346534653465347,37.88819875776397,62.11180124223603,50.47356672096151,45.9273980637586,3.5990352152798906
11,1500000US530019504001,66.42494561276287,0.0,0.8701957940536621,1.2327773749093547,0.0,28.0638143582306,3.40826686004351,41949.0,10.337552742616033,89.66244725738396,12.07920792079208,1.386138613861386,20.396039603960396,33.663366336633665,6.336633663366337,20.396039603960396,5.742574257425742,33.54908306364617,66.45091693635382,59.9262206662779,34.1914174741201,5.882361859602
12,1500000US530019504002,52.96017222820237,0.43057050592034446,10.871905274488698,4.57481162540366,0.0,29.70936490850377,1.4531754574811626,46897.0,21.755253399258343,78.24474660074165,7.773851590106007,14.487632508833922,33.333333333333336,22.850412249705535,3.7691401648998824,7.538280329799765,10.247349823321555,36.40167364016737,63.59832635983263,44.6683879541092,50.519956812611,4.811655233279801
13,1500000US530019505001,85.41367766618842,5.164992826398852,0.0,0.0,0.0,9.421329507412722,0.0,72935.0,10.75268817204301,89.24731182795699,22.084367245657567,4.383788254755997,29.280397022332505,29.3631100082713,2.729528535980149,5.2109181141439205,6.947890818858561,27.55700325732899,72.44299674267101,54.803244304393594,38.554322009414996,6.64243368619141
14,1500000US530019505002,58.6756077116513,0.5308745459625593,8.466051969823972,0.5308745459625593,0.0,30.315730651019837,1.4808605755797708,41496.0,22.660098522167488,77.33990147783251,4.351395730706075,22.742200328407225,39.90147783251231,18.14449917898194,7.8817733990147785,5.500821018062397,1.477832512315271,37.78260869565217,62.21739130434783,43.7215655140127,50.7065921212987,5.5718423646885995
