"geo_id","dist_to_nearest_ballot_box_km","block_group_name","total_voting_age_pop","num_voted"
"1500000US530050107033","2.67845476418121","Block Group 3, Census Tract 107.03, Benton County, Washington","1172","600"
"1500000US530050107051","3.32714408785819","Block Group 1, Census Tract 107.05, Benton County, Washington","817","723"
"1500000US530050107052","1.81754071198676","Block Group 2, Census Tract 107.05, Benton County, Washington","710","480"
"1500000US530050107053","1.96892047726796","Block Group 3, Census Tract 107.05, Benton County, Washington","910","765"
"1500000US530050107054","1.30914813803497","Block Group 4, Census Tract 107.05, Benton County, Washington","1585","1310"
"1500000US530050107071","2.08302296695314","Block Group 1, Census Tract 107.07, Benton County, Washington","610","500"
"1500000US530050107072","0.702616638013828","Block Group 2, Census Tract 107.07, Benton County, Washington","1895","1567"
"1500000US530050107081","0.853751806962707","Block Group 1, Census Tract 107.08, Benton County, Washington","612","563"
"1500000US530050107082","0.381555994088412","Block Group 2, Census Tract 107.08, Benton County, Washington","715","438"
"1500000US530050107083","1.14059487145473","Block Group 3, Census Tract 107.08, Benton County, Washington","1960","1429"
"1500000US530050108071","4.96669978819922","Block Group 1, Census Tract 108.07, Benton County, Washington","1116","692"
"1500000US530050108091","2.33391549185199","Block Group 1, Census Tract 108.09, Benton County, Washington","1763","1326"
"1500000US530050108092","1.79429102994163","Block Group 2, Census Tract 108.09, Benton County, Washington","1518","885"
"1500000US530050108093","2.58866505959856","Block Group 3, Census Tract 108.09, Benton County, Washington","1878","1065"
"1500000US530050108101","3.26203383984043","Block Group 1, Census Tract 108.10, Benton County, Washington","1876","1518"
"1500000US530050108102","2.44789557874707","Block Group 2, Census Tract 108.10, Benton County, Washington","899","555"
"1500000US530050108103","2.47257742935239","Block Group 3, Census Tract 108.10, Benton County, Washington","1426","1186"
"1500000US530050108111","1.64353970744153","Block Group 1, Census Tract 108.11, Benton County, Washington","1784","1620"
"1500000US530050108112","3.36713712583083","Block Group 2, Census Tract 108.11, Benton County, Washington","2215","1869"
"1500000US530050108141","6.36379367237496","Block Group 1, Census Tract 108.14, Benton County, Washington","3534","3009"
"1500000US530050108151","4.81271139502475","Block Group 1, Census Tract 108.15, Benton County, Washington","2616","1307"
"1500000US530050108152","3.76398079301963","Block Group 2, Census Tract 108.15, Benton County, Washington","1986","1556"
"1500000US530050108153","3.6482756477726","Block Group 3, Census Tract 108.15, Benton County, Washington","1269","1072"
"1500000US530050108154","3.05799466426195","Block Group 4, Census Tract 108.15, Benton County, Washington","1156","995"
"1500000US530050108161","2.91492787910077","Block Group 1, Census Tract 108.16, Benton County, Washington","1239","844"
"1500000US530050108162","3.55885880220971","Block Group 2, Census Tract 108.16, Benton County, Washington","1684","1357"
"1500000US530050108163","2.32188047070738","Block Group 3, Census Tract 108.16, Benton County, Washington","1275","1024"
"1500000US530050108171","1.21107737975598","Block Group 1, Census Tract 108.17, Benton County, Washington","2116","1713"
"1500000US530050108172","0.601445284449396","Block Group 2, Census Tract 108.17, Benton County, Washington","907","656"
"1500000US530050108173","1.5832912831065","Block Group 3, Census Tract 108.17, Benton County, Washington","1795","1409"
"1500000US530050108181","3.33201256628976","Block Group 1, Census Tract 108.18, Benton County, Washington","1034","577"
"1500000US530050108182","4.18404716124127","Block Group 2, Census Tract 108.18, Benton County, Washington","1403","1172"
"1500000US530050108191","0.933027382770717","Block Group 1, Census Tract 108.19, Benton County, Washington","1462","1201"
"1500000US530050108192","0.760477330361131","Block Group 2, Census Tract 108.19, Benton County, Washington","1077","918"
"1500000US530050108201","1.86878245319189","Block Group 1, Census Tract 108.20, Benton County, Washington","1586","1086"
"1500000US530050108202","2.00372179416682","Block Group 2, Census Tract 108.20, Benton County, Washington","877","636"
"1500000US530050108203","0.240946415481783","Block Group 3, Census Tract 108.20, Benton County, Washington","699","310"
"1500000US530050109011","0.83138642840787","Block Group 1, Census Tract 109.01, Benton County, Washington","794","485"
"1500000US530050109012","0.721326915315373","Block Group 2, Census Tract 109.01, Benton County, Washington","1385","605"
"1500000US530050109013","0.585046673314677","Block Group 3, Census Tract 109.01, Benton County, Washington","682","286"
"1500000US530050109014","1.19683527430953","Block Group 4, Census Tract 109.01, Benton County, Washington","1063","349"
"1500000US530050109015","0.998099162010161","Block Group 5, Census Tract 109.01, Benton County, Washington","652","237"
"1500000US530050109021","2.32025346623004","Block Group 1, Census Tract 109.02, Benton County, Washington","1217","813"
"1500000US530050109022","1.6909166324967","Block Group 2, Census Tract 109.02, Benton County, Washington","1183","416"
"1500000US530050109023","1.42502247131572","Block Group 3, Census Tract 109.02, Benton County, Washington","1626","688"
"1500000US530050110011","2.92458702719567","Block Group 1, Census Tract 110.01, Benton County, Washington","739","425"
"1500000US530050110012","1.56804372935059","Block Group 2, Census Tract 110.01, Benton County, Washington","1404","777"
"1500000US530050110013","1.80010355064867","Block Group 3, Census Tract 110.01, Benton County, Washington","607","248"
"1500000US530050110014","2.57289739709963","Block Group 4, Census Tract 110.01, Benton County, Washington","629","204"
"1500000US530050110015","2.3795609726682","Block Group 5, Census Tract 110.01, Benton County, Washington","705","396"
"1500000US530050110021","2.28678992086792","Block Group 1, Census Tract 110.02, Benton County, Washington","969","430"
"1500000US530050110022","2.84810243229812","Block Group 2, Census Tract 110.02, Benton County, Washington","873","391"
"1500000US530050110023","2.8751995581868","Block Group 3, Census Tract 110.02, Benton County, Washington","716","394"
"1500000US530050110024","3.35714491343074","Block Group 4, Census Tract 110.02, Benton County, Washington","1078","435"
"1500000US530050111001","2.46962764124169","Block Group 1, Census Tract 111, Benton County, Washington","1100","501"
"1500000US530050111002","2.53054436633018","Block Group 2, Census Tract 111, Benton County, Washington","925","525"
"1500000US530050111003","2.86492647412711","Block Group 3, Census Tract 111, Benton County, Washington","1030","657"
"1500000US530050111004","1.78699062298675","Block Group 4, Census Tract 111, Benton County, Washington","553","361"
"1500000US530050111005","2.07198371714912","Block Group 5, Census Tract 111, Benton County, Washington","713","452"
"1500000US530050111006","2.68631276771232","Block Group 6, Census Tract 111, Benton County, Washington","1416","832"
"1500000US530050112011","1.26458212031406","Block Group 1, Census Tract 112.01, Benton County, Washington","635","376"
"1500000US530050112012","1.72878863310398","Block Group 2, Census Tract 112.01, Benton County, Washington","557","248"
"1500000US530050112013","1.68493726887843","Block Group 3, Census Tract 112.01, Benton County, Washington","866","287"
"1500000US530050112014","1.07646013769965","Block Group 4, Census Tract 112.01, Benton County, Washington","946","123"
"1500000US530050112021","0.981515265765301","Block Group 1, Census Tract 112.02, Benton County, Washington","1595","434"
"1500000US530050112022","0.370381547633411","Block Group 2, Census Tract 112.02, Benton County, Washington","454","239"
"1500000US530050113001","1.2664447699041","Block Group 1, Census Tract 113, Benton County, Washington","807","325"
